,0,1,2,3,Type
flowety01,1.0,0.0,0.0,0.0,0
forsylo01,0.0,0.001,0.999,0.0,2
fowlede01,0.984,0.0,0.016,0.0,0
francma02,0.0,0.0,1.0,0.0,2
francje02,0.0,0.034,0.966,0.0,2
frankni01,0.546,0.454,0.0,0.0,0
fraziad01,0.0,0.002,0.998,0.0,2
frazito01,0.007,0.0,0.993,0.0,2
freemfr01,1.0,0.0,0.0,0.0,0
freesda01,0.0,0.006,0.994,0.0,2
fryerer01,0.0,1.0,0.0,0.0,1
galvifr01,0.0,1.0,0.0,0.0,1
garciad01,0.0,0.001,0.999,0.0,2
garciav01,0.0,0.025,0.975,0.0,2
garcigr01,0.029,0.011,0.961,0.0,2
gardnbr01,0.069,0.833,0.098,0.0,1
gattiev01,0.002,0.0,0.998,0.0,2
gennesc01,0.0,0.0,1.0,0.0,2
giavojo01,0.0,0.999,0.0,0.0,1
gillaco01,0.0,1.0,0.0,0.0,1
gimench01,0.0,1.0,0.0,0.0,1
goeddty01,0.0,0.98,0.0,0.02,1
goinsry01,0.0,0.023,0.0,0.977,3
goldspa01,1.0,0.0,0.0,0.0,0
gomesya01,0.0,0.0,0.0,1.0,3
gomezca01,0.0,1.0,0.0,0.0,1
gonzaad01,0.0,0.0,0.999,0.0,2
gonzaca01,0.0,0.0,1.0,0.0,2
gonzama01,0.0,1.0,0.0,0.0,1
gordoal01,0.0,0.084,0.916,0.0,2
gordode01,0.0,1.0,0.0,0.0,1
gosean01,0.0,1.0,0.0,0.0,1
gosewtu01,0.0,0.0,0.0,1.0,3
gosseph01,0.0,0.001,0.999,0.0,2
grandya01,0.004,0.0,0.996,0.0,2
grandcu01,0.0,0.0,1.0,0.0,2
gregodi01,0.088,0.014,0.898,0.0,2
grichra01,0.0,0.0,1.0,0.0,2
grossro01,0.001,0.0,0.999,0.0,2
gourryu01,0.0,0.002,0.998,0.0,2
gutiefr01,0.0,0.0,1.0,0.0,2
guyerbr01,1.0,0.0,0.0,0.0,0
gyorkje01,0.0,0.0,1.0,0.0,2
hamilbi02,0.0,1.0,0.0,0.0,1
hanigry01,0.0,0.0,0.0,1.0,3
hanigmi01,0.001,0.791,0.208,0.0,1
hardyjj01,0.0,0.001,0.999,0.0,2
harpebr03,1.0,0.0,0.0,0.0,0
harrijo05,0.0,1.0,0.0,0.0,1
hazelje01,0.991,0.009,0.0,0.0,0
headlch01,0.002,0.006,0.993,0.0,2
healyry01,0.0,0.0,1.0,0.0,2
hechaad01,0.0,0.999,0.001,0.0,1
heisech01,0.0,0.0,1.0,0.0,2
heredgu01,0.0,1.0,0.0,0.0,1
hernace02,0.0,1.0,0.0,0.0,1
hernaen02,0.0,0.034,0.966,0.0,2
hernate01,0.0,1.0,0.0,0.0,1
herreod01,0.013,0.986,0.001,0.0,1
herrmch01,0.999,0.001,0.0,0.0,0
heywaja01,0.0,0.021,0.979,0.0,2
hicksaa01,0.0,0.415,0.585,0.0,2
hillaa01,0.0,0.001,0.999,0.0,2
